path,label,source,group_id
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch1_CANTARINI/s-20210506-1652-ch1.wav,siren,A3S-Rec_CANTARINI,s-20210506-1652-ch1
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch1_CANTARINI/s-20210506-1714-ch1.wav,siren,A3S-Rec_CANTARINI,s-20210506-1714-ch1
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch1_CANTARINI/s-20210506-1714_1-ch1.wav,siren,A3S-Rec_CANTARINI,s-20210506-1714_1-ch1
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch1_CANTARINI/s-20210507-1421-ch1.wav,siren,A3S-Rec_CANTARINI,s-20210507-1421-ch1
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch1_CANTARINI/s-20210507-1426-ch1.wav,siren,A3S-Rec_CANTARINI,s-20210507-1426-ch1
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch1_CANTARINI/s-20210507-1536-ch1.wav,siren,A3S-Rec_CANTARINI,s-20210507-1536-ch1
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch1_CANTARINI/s-20210507-1640-ch1.wav,siren,A3S-Rec_CANTARINI,s-20210507-1640-ch1
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch2_CANTARINI/s-20210506-1652-ch2.wav,siren,A3S-Rec_CANTARINI,s-20210506-1652-ch2
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch2_CANTARINI/s-20210506-1714-ch2.wav,siren,A3S-Rec_CANTARINI,s-20210506-1714-ch2
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch2_CANTARINI/s-20210506-1714_1-ch2.wav,siren,A3S-Rec_CANTARINI,s-20210506-1714_1-ch2
raw/siren/A3S-Rec_CANTARINI/Siren_CANTARINI/Siren_ch2_CANTARINI/s-20210507-1421-ch2.wav,siren,A3S-Rec_CANTARINI,s-20210507-1421-ch2
